제목,저자,발행처
노랜드 :천선란 소설집,천선란 지음,한겨레출판: 한겨레엔
눈먼 자들의 도시,주제 사라마구 지음,해냄출판사
눈아이 :안녕달 그림책,안녕달 지음,창비
다 푼다 카카오프렌즈 :재미up 실력up 수학 체험 만화 .1 길이 재기 - 세 자리 수 연산,김혜성 글,대원키즈 : 대원씨아이
단정한 반복이 나를 살릴 거야,봉현 지음,M창비(미디어창비)
당신은 결국 무엇이든 해내는 사람 :김상현 에세이,김상현 지음,필름: 필름(Feelm) 출판사
당신이 옳다 :정혜신 적정심리학,정혜신 지음,해냄출판사
데이터 천재들은 어떻게 기획하고 분석할까? :직관을 넘어 핵심을 꿰뚫는 데이터 분석의 절대 법칙,조성준,21세기북스: 북이십일
돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가,마이클 샌델 [지음],와이즈베리: 미래엔
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,스노우폭스북스
딱 한 번만이라도 :마스다 미리 장편소설,마스다 미리 지음,소미미디어
마음챙김 미술관 :20가지 키워드로 읽는 그림 치유의 시간,김소울 지음,타인의사유: 대원씨아이
마호로 역 다다 심부름집 :미우라 시온 장편소설,미우라 시온 지음,은행나무
매일을 헤엄치는 법 :이연 그림 에세이,이연 지음,푸른숲
면접을 위한 CS 전공지식 노트 :computer science note,주홍철 지음,길벗
몽환화 :히가시노 게이고 장편소설,히가시노 게이고 [저],비채
문어 목욕탕,최민지 글?그림,노란상상
물고기는 존재하지 않는다 :상실 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기,룰루 밀러 지음,곰출판
므레모사 :김초엽 소설,김초엽 지음,H(현대문학)
백년 허리 :허리 보증 기간을 100년으로 늘리는 방법,정선근 [지음],사이언스북스
백은의 잭,히가시노 게이고 지음,소미미디어
보다 읽다 말하다 :김영하 인사이트 3부작,김영하 지음,복복서가
봉제인형 살인사건,다니엘 콜 지음,북플라자
부자의 그릇 :돈을 다루는 능력을 키우는 법,이즈미 마사토 지음,다산3.0
불릿 트레인 :이사카 고타로 장편소설 =Bullet train,이사카 고타로 지음,RHK(알에이치코리아)
불편한 편의점 :김호연 장편소설,김호연 지음,나무옆의자
브로콜리 펀치 :이유리 소설집,이유리 지음,문학과지성사
빅매직 :두려움을 넘어 창조적으로 사는 법,엘리자베스 길버트 [지음],민음사
사람 장소 환대,김현경 지음,문학과지성사
산불에서 살아남기 .2,포도알친구 글,MiraeN 아이세움: 미래엔
상실의 시대 :무라카미 하루키 장편소설,무라카미 하루키 [지음],문학사상사
생각은 어떻게 행동이 되는가 :목표를 세우고 성취하는 인지조절의 뇌과학,데이비드 바드르 지음,해나무: 북하우스 퍼블리셔스
생각의 탄생 :다빈치에서 파인먼까지 창조성을 빛낸 사람들의 13가지 생각도구,로버트 루트번스타인,에코의서재
선과 모터사이클 관리술 : 가치에 대한 탐구,로버트 M. 피어시그 지음,문학과지성사
설민석의 한국사 대모험 .14 명의 허준 편-안녕 로빈!,설민석,아이휴먼: 휴먼큐브
세계를 건너 너에게 갈게 :이꽃님 장편소설,이꽃님 지음,문학동네
세상의 마지막 기차역 =The last train station in the world,무라세 다케시 지음,모모: 바이포엠 스튜디오
센 강의 이름 모를 여인 :기욤 뮈소 장편소설,기욤 뮈소 지음,밝은세상
